label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,reduction,prob_target,bias,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,grad_linear_bias_error,error,timing_error
reference,,,,4096,4096,4096,bfloat16,cuda,mean,False,False,False,2.0930559635162354,218399744,0.0017248940286687428,0.0017218617373746116,nan,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,4096,4096,4096,bfloat16,cuda,mean,False,False,False,17.484800338745117,520475136,0.0016614435036825211,0.001658683972795216,nan,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,4096,4096,4096,bfloat16,cuda,mean,False,False,False,16.870399475097656,419795456,0.0016614435031530545,0.002032194886953207,nan,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,4096,4096,4096,bfloat16,cuda,mean,False,False,False,17.331199645996094,386232832,0.0016614435044154557,0.002623024483890453,nan,,
accurate_budget_fp32,accurate,budget,float32,4096,4096,4096,bfloat16,cuda,mean,False,False,False,17.332223892211914,386232832,0.0016614435044154557,0.002623024483890453,nan,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,4096,4096,4096,bfloat16,cuda,mean,False,False,False,11.501567840576172,419820032,0.0016619935880926924,0.0016586839727952562,nan,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,4096,4096,4096,bfloat16,cuda,mean,False,False,False,12.001279830932617,319136256,0.0016619935880926924,0.002032194886953207,nan,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,4096,4096,4096,bfloat16,cuda,mean,False,False,False,12.121088027954102,268794368,0.0016619935880926924,0.002623024483890453,nan,,
balanced_budget_fp32,balanced,budget,float32,4096,4096,4096,bfloat16,cuda,mean,False,False,False,11.593728065490723,268794368,0.0016619935880926924,0.002623024483890453,nan,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,4096,4096,4096,bfloat16,cuda,mean,False,False,False,2.8968958854675293,352711168,0.0016619935880926924,0.0021378043331133035,nan,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,4096,4096,4096,bfloat16,cuda,mean,False,False,False,3.737600088119507,252027392,0.0016619935880926924,0.0024370408323165674,nan,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,4096,4096,4096,bfloat16,cuda,mean,False,False,False,4.046847820281982,201685504,0.0016619935880926924,0.0029474416905863506,nan,,
compact_budget_fp32,compact,budget,float32,4096,4096,4096,bfloat16,cuda,mean,False,False,False,4.393983840942383,201685504,0.0016619935880926924,0.00294747833942226,nan,,
auto_fp32,auto,auto,float32,4096,4096,4096,bfloat16,cuda,mean,False,False,False,4.0447998046875,201685504,0.0016619935880926924,0.0029477356558778914,nan,,
liger,,,,4096,4096,4096,bfloat16,cuda,mean,False,False,False,2.510432004928589,285528064,0.001703159453985009,0.0017006101850345825,nan,,
